Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
National,2021-01-15,,,,,80761997,246405437,1094023089,275962964,271635603,136024377,169942309,161088601,51901853,17285585,7956681,1507448,717668,00-00000-20210115
National,2021-01-16,,,,,86937068,240230366,1120642693,295041928,276617099,138647614,170809922,157040870,52657507,19794355,8114913,1278624,639861,00-00000-20210116
National,2021-01-17,,,,,84411662,242755772,994431946,261379204,246033013,124221889,153047259,136803410,43715413,17567948,8911797,1774639,977374,00-00000-20210117
National,2021-01-18,,,,,76510859,250656575,1123965863,289893608,266835073,137565139,174641086,168762801,55871959,19119061,8477799,1778263,1021074,00-00000-20210118
National,2021-01-19,,,,,85665673,241501761,929162857,236314499,225401903,114868298,146218144,141480832,44725144,13038526,5189458,1182813,743240,00-00000-20210119
National,2021-01-20,,,,,83590928,243576506,966928497,246911297,234310050,120103967,152778288,147099013,45655458,13001524,5128556,1198064,742280,00-00000-20210120
National,2021-01-21,,,,,78705623,248461811,1060631411,275650114,255792671,130546724,165703732,159783150,50230983,14766763,5895182,1381443,880649,00-00000-20210121
National,2021-01-22,,,,,76559788,250607646,1090709820,282928816,262439168,134159387,169523824,161895093,50978020,18358988,7982785,1568536,875203,00-00000-20210122
National,2021-01-23,,,,,80615818,246551616,1040827326,269254960,250242857,129368728,161723019,149994607,49867544,20155135,8123327,1327508,769641,00-00000-20210123
National,2021-01-24,,,,,88649447,238517987,937985277,248885091,229954134,116413725,144290112,129449179,40653135,16567188,8974979,1728847,1068887,00-00000-20210124
National,2021-01-25,,,,,82030958,245136476,955475573,248278173,234377110,117804707,148400692,141987286,44062426,13208566,5169389,1226062,961162,00-00000-20210125
National,2021-01-26,,,,,81622067,245545367,1010235863,258673717,246344926,125250341,158737185,152515231,47577739,14019701,5097733,1195216,824074,00-00000-20210126
National,2021-01-27,,,,,80424822,246742612,1004111531,256785671,245359710,125072492,158205188,150857624,46651517,13901569,5198493,1250650,828617,00-00000-20210127
National,2021-01-28,,,,,80459970,246707464,989410831,252567716,240159198,121856314,155211085,149744190,47328963,14571774,5801002,1349845,820744,00-00000-20210128
National,2021-01-29,,,,,78191324,248976110,1052686775,267244813,257191659,130724272,164655453,156522029,49431632,16750512,7837913,1538651,789841,00-00000-20210129
National,2021-01-30,,,,,80405610,246761824,1046456802,271209235,255926936,130738297,162039778,148329761,49029246,19219923,7945724,1295987,721915,00-00000-20210130
National,2021-01-31,,,,,89096512,238070922,966336080,260772262,238038733,119128645,146821848,131303520,41487212,16938690,8965529,1786530,1093111,00-00000-20210131
National,2021-02-01,,,,,87202264,239965170,1031488308,272872729,249077862,125514061,158297110,151991224,48635715,15813816,6721911,1512167,1051713,00-00000-20210201
National,2021-02-02,,,,,83775762,243391672,1048165676,273593150,255283571,128615996,162903102,156832146,49122163,14524139,5215404,1228066,847939,00-00000-20210202
National,2021-02-03,,,,,78421087,248746347,1053816908,275397947,256773923,129908983,164326741,157217451,48583651,14282260,5218940,1260410,846602,00-00000-20210203
National,2021-02-04,,,,,77386579,249780855,1061867389,279654622,257211004,129549245,164261361,158191571,49734898,15097637,5863599,1393856,909596,00-00000-20210204
National,2021-02-05,,,,,74144486,253022948,1148141379,301744682,279058886,140787326,177122120,168503121,52989839,17523723,7934454,1586572,890656,00-00000-20210205
National,2021-02-06,,,,,77434038,249733396,1095738702,290295805,266222757,135409326,168077290,154630750,51129794,19788495,8049697,1337995,796793,00-00000-20210206
National,2021-02-07,,,,,87423713,239743721,1053620177,295492219,256648251,128360198,159007818,142071428,43657948,16804482,8566681,1784158,1226994,00-00000-20210207
National,2021-02-08,,,,,80907066,246260368,1145054943,303990392,265401451,137697765,177505161,173805732,56612246,18691377,8350681,1786270,1213868,00-00000-20210208
National,2021-02-09,,,,,81245734,245921700,1109532838,287206048,268603531,136575386,173680814,167784408,52267905,15436478,5662565,1360364,955339,00-00000-20210209
National,2021-02-10,,,,,79330991,247836443,1147304829,295763390,276809661,141968848,180755887,174264558,53777985,15773233,5825149,1413904,952214,00-00000-20210210
National,2021-02-11,,,,,78591381,248576053,1155893693,300916290,277161590,141678903,180609148,175061185,54729158,16539460,6531672,1576568,1089719,00-00000-20210211
National,2021-02-12,,,,,74625784,252541650,1120615879,291030961,269656253,136099136,172792994,167185217,53341164,18080492,9279004,2063125,1087533,00-00000-20210212
National,2021-02-13,,,,,83759630,243407804,1054634639,276356009,254893773,130529127,163948208,153571001,50308422,17323306,5723136,1133985,847672,00-00000-20210213
National,2021-02-14,,,,,88092307,239075127,1040121254,289787046,252569448,127086192,157345747,140166252,43290288,17412927,9332420,1852783,1278151,00-00000-20210214
National,2021-02-15,,,,,85010595,242156839,1119731849,302249654,265758677,135372592,172097561,165361437,52123216,16728928,7206055,1597793,1235936,00-00000-20210215
National,2021-02-16,,,,,82857230,244310204,1121570268,297398896,270424084,137326502,174371383,167167897,51594479,15308647,5652094,1328637,997649,00-00000-20210216
National,2021-02-17,,,,,79475447,247691987,1126560506,298269883,271555953,138618063,175891590,167734913,51226672,15194593,5708325,1369219,991295,00-00000-20210217
National,2021-02-18,,,,,79867856,247299578,1139966657,303448089,273082862,138812933,176747304,169873044,52782056,16156958,6468193,1523622,1071596,00-00000-20210218
National,2021-02-19,,,,,75582660,251584774,1166588342,309516404,280692036,142264779,179773440,171130321,53520527,18076257,8780696,1797993,1035889,00-00000-20210219
National,2021-02-20,,,,,79202830,247964604,1107137271,297406167,266774840,136462849,170132819,156447101,50979921,19208777,7547081,1300793,876923,00-00000-20210220
